id_icpe,nom_original,structure,etablissement,nom_complet,code_insee_commune,nom_commune,epci_siren,epci_nom,coordonnees_lat_lon,geometrie_geojson,id_ligne_export,siret,regime_icpe,categorie_seveso,priorite_nationale,url_fiche_georisques,elevage_bovins,elevage_porcs,elevage_volailles,activite_carriere,activite_eolienne,activite_industrielle,directive_ied,code_naf_division,date_enregistrement,annee_enregistrement
5201135,KERWICH LANDRY,KERWICH LANDRY,,KERWICH LANDRY,33374,Saint-Aubin-de-Blaye,243300811,CC de l'Estuaire,"45.2643609, -0.561678","{""coordinates"": [-0.561678, 45.2643609], ""type"": ""Point""}",761,31725765700013,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201135,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025
5201162,CASIMIR - St Denis de Pile,CASIMIR,St Denis de Pile,CASIMIR — St Denis de Pile,33393,Saint-Denis-de-Pile,200070092,CA du Libournais,"44.9932339, -0.2041219","{""coordinates"": [-0.2041219, 44.9932339], ""type"": ""Point""}",769,,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201162,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-08-05T00:00:00+02:00,2025
5201164,CENTRE DE RECUPERATION DU LIBOURNAIS,CENTRE DE RECUPERATION DU LIBOURNAIS,Saint-Émilion,CENTRE DE RECUPERATION DU LIBOURNAIS — Saint-Émilion,33394,Saint-Émilion,200035533,CC du Grand Saint Emilionnais,"44.8934369, -0.199753","{""coordinates"": [-0.199753, 44.8934369], ""type"": ""Point""}",771,34183141000012,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201164,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,38,2025-05-10T00:00:00+02:00,2025
5201174,SCEA FOUGERAIE,SCEA FOUGERAIE,,SCEA FOUGERAIE,33412,Saint-Germain-d'Esteuil,200069995,CC Médoc Coeur de Presqu'île,"45.2331529, -0.899091","{""coordinates"": [-0.899091, 45.2331529], ""type"": ""Point""}",775,45236852500013,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201174,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,2025-02-10T00:00:00+01:00,2025
5201179,SMICVAL - St Girons,SMICVAL,St Girons,SMICVAL — St Girons,33416,Saint-Girons-d'Aiguevives,200023794,CC de Blaye,"45.1274419, -0.5417819","{""coordinates"": [-0.5417819, 45.1274419], ""type"": ""Point""}",777,,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,2025-02-10T00:00:00+01:00,2025
5201180,ARIANEGROUP SAS,ARIANEGROUP SAS,Sainte-Hélène,ARIANEGROUP SAS — Sainte-Hélène,33417,Sainte-Hélène,243301389,CC Médullienne,"44.9941059, -0.852956","{""coordinates"": [-0.852956, 44.9941059], ""type"": ""Point""}",778,51903224700032,AUTORISATION,SEUIL_HAUT,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201180,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,2025-12-24T00:00:00+01:00,2025
5201182,LAFARGE GRANULATS SUD,LAFARGE GRANULATS SUD,,LAFARGE GRANULATS SUD,33421,Saint-Jean-de-Blaignac,243301454,CC Castillon/Pujols,"44.8154209, -0.1449769","{""coordinates"": [-0.1449769, 44.8154209], ""type"": ""Point""}",779,56211088202615,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201182,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8,2025-02-10T00:00:00+01:00,2025
5201183,PENA ENVIRONNEMENT,PENA ENVIRONNEMENT,,PENA ENVIRONNEMENT,33422,Saint-Jean-d'Illac,243301165,CC Jalle-Eau-Bourde,"44.7697049, -0.768424","{""coordinates"": [-0.768424, 44.7697049], ""type"": ""Point""}",780,38014135800024,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201183,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,38,2026-02-21T00:00:00+01:00,2026
5201184,ZODIAC INTERNATIONAL,ZODIAC INTERNATIONAL,,ZODIAC INTERNATIONAL,33422,Saint-Jean-d'Illac,243301165,CC Jalle-Eau-Bourde,"44.7949309, -0.776711","{""coordinates"": [-0.776711, 44.7949309], ""type"": ""Point""}",781,72980083900072,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-02-10T00:00:00+01:00,2025
5201190,QUERANDEAU Production,QUERANDEAU Production,,QUERANDEAU Production,33422,Saint-Jean-d'Illac,243301165,CC Jalle-Eau-Bourde,"44.7944829, -0.775554","{""coordinates"": [-0.775554, 44.7944829], ""type"": ""Point""}",782,95036494300015,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201190,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,46,2025-07-19T00:00:00+02:00,2025
5201192,BARON PHILIPPE DE ROTHSCHILD SA,BARON PHILIPPE DE ROTHSCHILD SA,Saint-Laurent-Médoc,BARON PHILIPPE DE ROTHSCHILD SA — Saint-Laurent-Médoc,33424,Saint-Laurent-Médoc,200069995,CC Médoc Coeur de Presqu'île,"45.1399929, -0.815398","{""coordinates"": [-0.815398, 45.1399929], ""type"": ""Point""}",784,45920264400108,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201192,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,46,2026-01-22T00:00:00+01:00,2026
5201193,MEDIAL UNICO - SUPER U,MEDIAL UNICO,SUPER U,MEDIAL UNICO — SUPER U,33424,Saint-Laurent-Médoc,200069995,CC Médoc Coeur de Presqu'île,"45.1469589, -0.822027","{""coordinates"": [-0.822027, 45.1469589], ""type"": ""Point""}",785,34425370300013,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201193,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,2025-11-16T00:00:00+01:00,2025
5200564,GRAND PARC ENERGIES (exENGIE COFELY),GRAND PARC ENERGIES (exENGIE COFELY),,GRAND PARC ENERGIES (exENGIE COFELY),33063,Bordeaux,243300316,Bordeaux Métropole,"44.8623469, -0.5831289","{""coordinates"": [-0.5831289, 44.8623469], ""type"": ""Point""}",538,91076742500010,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200564,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-07-31T00:00:00+02:00,2025
5200579,CHU Hôpitaux de Bordeaux,CHU Hôpitaux de Bordeaux,Bordeaux,CHU Hôpitaux de Bordeaux — Bordeaux,33063,Bordeaux,243300316,Bordeaux Métropole,"44.8247929, -0.6050229","{""coordinates"": [-0.6050229, 44.8247929], ""type"": ""Point""}",542,37900597800018,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200579,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,86,2026-03-28T00:00:00+01:00,2026
5200589,GRANDS MOULINS DE PARIS,GRANDS MOULINS DE PARIS,,GRANDS MOULINS DE PARIS,33063,Bordeaux,243300316,Bordeaux Métropole,"44.8534349, -0.5542039","{""coordinates"": [-0.5542039, 44.8534349], ""type"": ""Point""}",546,35146649500030,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200589,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,2026-02-05T00:00:00+01:00,2026
